Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1021259,10/2/2019,92.49,206110-101
1019794,10/1/2019,148.56,209745-101
1007429,10/4/2019,465.24,2200-48450-025
1007429,10/4/2019,465.24,2200-44514-002
1021976,10/2/2019,92.49,206110-101
1017926,10/1/2019,21521.03,251662
1031035,10/2/2019,8129.22,2200-16200-030
1017926,10/1/2019,21521.03,233024
1021976,10/2/2019,92.49,206110-101
1017926,10/1/2019,21521.03,238269
1017926,10/1/2019,21521.03,257065
1017926,10/1/2019,21521.03,255829
1017926,10/1/2019,21521.03,232729
1017926,10/1/2019,21521.03,251644
1020984,10/2/2019,2583.08,10034
1017926,10/1/2019,21521.03,251638
1017926,10/1/2019,21521.03,238382
1017926,10/1/2019,21521.03,230404
1024614,10/2/2019,657.79,271631
1017926,10/1/2019,21521.03,230170
1021976,10/2/2019,107.1,202652-03
1024614,10/2/2019,657.79,271629
1020984,10/2/2019,2583.08,16533
1017926,10/1/2019,21521.03,238383
1017643,10/2/2019,60.68,229444
1017926,10/1/2019,21521.03,233018
1017926,10/1/2019,21521.03,251680
1017926,10/1/2019,21521.03,232735
1017926,10/1/2019,21521.03,252565
1017926,10/1/2019,21521.03,251674
1016083,10/2/2019,296.9,2201-52757-001
1017926,10/1/2019,21521.03,238268
1017926,10/1/2019,21521.03,251656
1019337,10/2/2019,305.88,2457-64356-101
1022056,10/2/2019,1140.25,271635
1022056,10/2/2019,1140.25,271637
1019337,10/2/2019,89.08,207576-01
1037222,10/2/2019,2132.2,10070H
1016843,10/2/2019,2494.88,207913-01
1007429,10/3/2019,1661.2,2200-48450-025
1007429,10/3/2019,1661.2,2200-48450-025
1020397,10/2/2019,718.08,16541
1016843,10/2/2019,2494.88,27019-01
1005480,10/3/2019,23.52,21267538
1040426,10/2/2019,622.5,203512881
1036990,10/3/2019,29.5,21210874
1016843,10/2/2019,2494.88,201851-02
1019337,10/2/2019,73.04,207414-03
1024638,10/1/2019,65.37,207414-03
1014946,10/3/2019,26.1,21210892
1026284,10/2/2019,43.52,201859-02
1008386,10/3/2019,44.25,21210874
1035370,10/3/2019,41.92,21210892
1019337,10/1/2019,20.76,209745-101
1016843,10/2/2019,2494.88,202652-02
1035370,10/3/2019,41.92,21210892
1015845,10/1/2019,158.85,275618
1021976,10/2/2019,92.49,206110-101
1011087,10/3/2019,25.19,21267538
1040584,10/2/2019,5924,20350820
1011087,10/3/2019,22.9,21267538
1016843,10/1/2019,1012.4,209747-101
1017008,10/2/2019,273,294106
1017008,10/2/2019,273,294100
1021976,10/2/2019,92.49,206110-101
1011087,10/3/2019,41.22,21267538
1022688,10/2/2019,3016.45,16532
1022432,10/1/2019,2774.65,16535
1017437,10/2/2019,43961.8,10094
1022688,10/2/2019,3016.45,16542
